Kingdom,Phylum,Class,Order,Family,Genus,sample1,sample26,sample25,sample2,sample24,sample6,sample27,sample5,sample4,sample23,sample3,sample22,sample10,sample7,sample20,sample8,sample9,sample11,sample19,sample18,sample15,sample14,sample21,sample13,sample16,sample12,sample17
Bacteria,Proteobacteria,Gammaproteobacteria,Steroidobacterales,Steroidobacteraceae,Genus of Steroidobacteraceae,2.1281266722823293,1.8868344789646532,1.4361736684172959,2.133857595349232,1.6035587419293478,1.6151314168868387,1.0726858772013594,1.8493806889923583,1.9097758283409094,1.356402194486865,1.9764256979858956,1.378250416698915,1.9955223067839398,1.7153323172033907,1.500113294799923,1.9002485047229225,1.9128536705677162,1.6159680964056458,1.4767177136106397,1.4457445835351441,1.947646516185082,2.1752120739514345,1.550588081123431,1.7165865049093094,1.8285688975300411,1.216506820815404,1.5885206143817685
Bacteria,Actinobacteriota,Actinobacteria,Actinomycetales,Actinomycetaceae,Actinomyces,2.149971171769769,1.7985659876199351,1.7538365730810126,2.0144481032668438,1.5107245344441056,1.8564877658333483,2.0568997823539537,1.6022270169669133,1.6035686563527491,1.5469957065627362,1.723775958949405,1.579894971250856,1.0931176055812148,1.5986716524925146,1.9425350087656739,1.5562462837196502,1.3743695886801426,1.356580329783215,1.7120793282128073,1.8165568383730974,1.4813169118630247,1.3308626789361861,1.7886638566688298,1.4549064717135165,1.5856588143763126,0.6939282929027861,1.6188561414909914
Bacteria,Acidobacteriota,Blastocatellia,Blastocatellales,Blastocatellaceae,Genus of Blastocatellaceae,1.5320002796107381,0.9656433358967424,2.0430996735301123,0.13210643447925463,1.8670211890212691,1.3154093114510719,1.9070410016190884,1.694011775936227,1.4284995890884682,2.036203590413982,1.3208287656744364,1.8195206267612019,-2.413029147190895,1.748295626340897,1.7910161918454852,1.726032042931707,1.2288152126855865,-0.26510153918475243,1.8246543715730263,1.5125273664248047,0.372272342294516,1.7965333929623428,2.141932853333704,0.2235657414588843,1.3124180732811643,1.4146684923086594,1.950617512089357
Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Devosiaceae,Devosia,2.098237972272657,0.6573333327540141,1.2451184316545865,1.9524897582192757,1.629807825941067,1.0824664742619934,0.7936610276736182,0.9470606968252051,1.3197744905904498,-0.1266771751897009,1.5358139072405406,0.6522468475738163,1.2122509557952235,1.0358626960925763,0.7149231921660215,0.47965778262350955,1.1415532567942899,0.63121912640855,0.874637443173814,0.9339739168117882,0.7072541650550148,0.46258115273799927,0.4114057248874303,0.9595024295529582,0.8221565553650709,0.9282005822244948,0.8577289977198523
Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Burkholderiaceae,Lautropia,1.714678524214265,2.0784563289419653,1.9382656122145319,1.8398471882941942,1.6803252051609023,1.8454300147790796,1.6929060007608152,2.057607490055921,1.7735719840379085,1.868074533629076,1.767046487234273,1.7096374991296663,1.7870733070105098,1.6093740070922573,1.5724617987543796,1.8102232346738072,1.3652980920191284,1.9188611009619017,1.3061579121852374,1.486346976801002,1.4389822176596976,1.650229835686119,1.5855470108666614,1.7534878457681442,1.3977036603298094,1.7543258117080125,1.4090727652074753
Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Hyphomicrobiaceae,Pedomicrobium,1.9774541935093808,0.7270688652365029,0.734292807888596,1.421603985319896,1.0018184379090815,1.6010338147281598,-0.0026745882275092114,1.8493806889923583,1.6808078792689045,1.0838064834161774,1.1788879017099836,0.7434894095531064,1.938325296536104,1.460422915430292,1.3877366656717873,1.372681058951743,1.6760939915777264,1.5936093925208423,1.50055552734388,1.2308456324704924,1.6753726736890053,1.5112608130556753,0.9223737548435835,1.5198955069057467,1.2076108256343137,1.7497441298218428,1.1023807455718622
Bacteria,Proteobacteria,Alphaproteobacteria,Caulobacterales,Hyphomonadaceae,Hirschia,1.9426195428878046,1.5511704600795664,1.9693561992845625,1.7128863742516787,1.9329228035985704,1.5939097779468936,1.114755282856434,1.41803309234517,1.736411128806986,1.5149360567914139,1.6551431779710812,1.6585783355176886,1.7870733070105098,1.6146825359698607,1.5063463233027345,1.0078097335493794,1.3652980920191284,1.9770227037867922,1.2164173793686537,1.6950697923410178,1.640636687026511,1.6172558673575672,1.566276451013616,1.730584566295141,1.402500958012987,1.8707055999941682,1.4212827009468327
Bacteria,Acidobacteriota,Vicinamibacteria,Vicinamibacterales,Vicinamibacteraceae,Genus of Vicinamibacteraceae,1.3248946452733321,1.1359924506035908,1.0350469619077298,1.3847018567963065,0.6801002750981286,1.5795076167265663,0.848902080757088,1.6792874858615283,1.8043607074511474,1.3659009164008307,1.4739011153650248,0.6835952152572897,1.9562753482353727,1.435402306037835,0.957251422425287,1.3444953646170807,1.2797239655149024,1.1793688992454703,0.9386193028264582,1.3363817903410133,0.5624206351932592,1.8623700922097193,1.1230832848382697,0.9891140764282538,0.8391131427748855,1.541144368768955,1.2638936930158389
Bacteria,Acidobacteriota,Blastocatellia,DS-100,Family of DS-100,Genus of DS-100,0.09808256993541953,-0.6236852228464116,-0.130704629598009,-0.5263359502639933,0.004572207751889046,-0.09370555455291729,0.3178235854831284,0.555628726687317,-0.021007163945284013,0.4127027808840902,-0.5344290858965621,-0.09312225746558322,0.8013736147689903,0.7157897870373384,-0.14273538247246798,0.8684360452352182,1.0075921542019222,0.2802907257207119,0.33255725942591763,0.6569681631783215,0.509073605186912,1.9416029273221636,0.15998956548179866,0.6441203872536736,0.8883231244031853,1.781383636643473,1.2423570811354772
Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Prolixibacteraceae,Genus of Prolixibacteraceae,1.584068392850078,1.7513269107484346,0.2747604785101556,1.930953500094117,0.5617485722229709,1.3794338370579924,1.2189874055662804,1.4650641015286974,1.2161370933179958,-3.5463262602522505,1.0021026642122841,-3.7054371827789607,-0.4219536091144924,0.8147867480297073,-3.6406167919265657,0.6650142816076201,0.2709805098652538,-3.6777651443387134,-3.8466054021961833,-3.7591865263673006,-3.7828412265529483,-1.4409698554030097,-1.345691463142285,-1.4669589442568665,-1.8662905560182965,-3.9069819637049177,-1.9250829764852595
Bacteria,Bacteroidota,Bacteroidia,Cytophagales,Microscillaceae,OLB12,1.747525865415951,1.821374228518688,1.91159736513237,0.8295121980945916,1.5488984689193037,1.3705346413711599,1.8227512734346902,1.295220248709585,1.5785504553589593,1.7969452934066785,1.3208287656744364,1.5543840995009992,1.6639073737101242,1.3143491543144465,1.1954820486628455,0.9977518526142983,1.2993832944154846,1.2130113264079379,1.3818950670950123,1.7677177778450623,1.3795950803090316,1.5323355305815811,1.7824132732001887,0.875963035960897,1.4718284332600007,0.6256524992653185,1.9105105061733871
Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Rhodanobacteraceae,Dokdonella,1.2914689645347739,1.3913194490008234,1.122058338897359,1.3720921997634816,1.49107681606941,1.6427440475146637,1.8754570180886683,0.8833777929041435,1.3910116746577605,1.3659009164008307,1.606622996615875,1.541380387087142,0.8695695485603743,1.619963033110424,1.2451051766407693,1.4905217156187414,1.1861357640172425,0.5273516291300737,0.5526338478220021,0.771715556288421,0.6293925017672848,-3.9374658604719937,1.242904214521129,0.5277420618675217,0.8306707893714806,0.6256524992653185,0.7685861906882359
